x,y,z,A,B,C
1148.51,-149.901,774.059,-2.97658,-0.254127,1.57582
1148.51,-149.909,774.048,-2.97663,-0.253944,1.57585
1148.51,-149.913,774.04,-2.9767,-0.254048,1.57575
1148.61,-149.644,774.047,-2.97667,-0.254093,1.57585
1148.6,-149.634,774.047,-2.97673,-0.254072,1.57579
1148.64,-149.38,773.988,-2.97667,-0.254093,1.57593
1148.66,-149.378,773.972,-2.97676,-0.254069,1.57588
1148.71,-149.324,773.937,-2.97684,-0.253976,1.57594
1148.73,-149.303,773.934,-2.97678,-0.254005,1.57595
1148.73,-149.287,773.936,-2.97682,-0.254053,1.57601
1148.72,-149.263,773.933,-2.97676,-0.254155,1.57594
1148.74,-149.253,773.923,-2.9768,-0.254047,1.576
1148.94,-148.74,773.789,-2.97705,-0.254098,1.57634
1148.95,-148.704,773.774,-2.97702,-0.25414,1.57627
1148.92,-149.004,773.868,-2.977,-0.254265,1.57627
1148.96,-148.982,773.84,-2.9769,-0.25416,1.57625
1149,-148.953,773.825,-2.97702,-0.2542,1.57631
1149,-148.913,773.812,-2.97695,-0.254293,1.57625
1149.06,-148.695,773.735,-2.97695,-0.254268,1.57628
1149.07,-148.624,773.691,-2.97696,-0.254223,1.57631
1149.07,-148.565,773.656,-2.97697,-0.254201,1.57613
1149.14,-148.469,773.629,-2.97699,-0.25418,1.57627
1149.07,-148.598,773.71,-2.97695,-0.254225,1.57627
1148.96,-148.839,773.786,-2.97705,-0.254013,1.57627
1148.96,-148.799,773.785,-2.97695,-0.254139,1.57638
1148.91,-148.95,773.843,-2.97704,-0.254127,1.57628
1148.9,-148.901,773.836,-2.97703,-0.253998,1.57632
1148.9,-148.874,773.833,-2.97705,-0.254024,1.5763
1148.9,-148.855,773.849,-2.97693,-0.254161,1.5764
1148.89,-148.811,773.838,-2.97697,-0.254197,1.57646
1148.93,-148.796,773.83,-2.97702,-0.254162,1.57635
1148.91,-148.737,773.822,-2.97699,-0.254166,1.57641
1148.93,-148.709,773.811,-2.97699,-0.254084,1.57647
1148.99,-148.668,773.843,-2.97704,-0.254306,1.57644
1149,-148.635,773.829,-2.97707,-0.254213,1.57645
1149.03,-148.596,773.816,-2.97709,-0.25418,1.5764
1148.87,-148.962,773.923,-2.97702,-0.254216,1.57629
1148.89,-148.926,773.919,-2.97709,-0.254195,1.57628
1148.84,-149.078,773.93,-2.97704,-0.254166,1.57618
1148.85,-149.039,773.932,-2.97698,-0.254185,1.57621
1148.86,-148.992,773.93,-2.97699,-0.254177,1.57621
1148.85,-148.946,773.911,-2.97695,-0.254227,1.57622
1148.89,-148.915,773.898,-2.97704,-0.254207,1.57612
1148.8,-149.224,773.964,-2.977,-0.254225,1.57614
1148.82,-149.194,773.964,-2.9769,-0.254284,1.57611
1148.82,-149.18,773.97,-2.97698,-0.254346,1.57597
1148.83,-149.15,773.966,-2.97698,-0.25427,1.57594
1148.83,-149.11,773.961,-2.97691,-0.25431,1.576
1148.84,-149.073,773.953,-2.97695,-0.254355,1.576
1148.87,-149.048,773.952,-2.9769,-0.254309,1.57589
1148.85,-149.005,773.956,-2.9769,-0.254264,1.57602
1148.85,-148.975,773.96,-2.9769,-0.254254,1.57591
1148.96,-149.023,773.949,-2.97693,-0.254318,1.57594
1148.96,-148.989,773.936,-2.97691,-0.254429,1.576
1148.99,-148.961,773.926,-2.97704,-0.254362,1.57585
1148.99,-148.832,773.856,-2.97691,-0.254273,1.57583
1149.02,-148.804,773.853,-2.97696,-0.254306,1.57584
1148.98,-149,773.869,-2.97707,-0.254282,1.57572
1149.03,-148.977,773.857,-2.977,-0.254273,1.57566
1149.07,-148.944,773.843,-2.97693,-0.254327,1.57575
1149.06,-148.923,773.833,-2.9769,-0.254343,1.57569
1149.11,-148.907,773.815,-2.97698,-0.25431,1.57572
1149.12,-148.876,773.804,-2.97692,-0.254314,1.57575
1149.16,-148.85,773.8,-2.97694,-0.254295,1.57578
1149.16,-148.81,773.803,-2.97694,-0.254394,1.57566
1149.18,-148.778,773.786,-2.97681,-0.2544,1.57569
1149.2,-148.746,773.771,-2.97689,-0.254297,1.57574
1149.23,-148.709,773.766,-2.97693,-0.254419,1.57575
1149.27,-148.686,773.757,-2.97692,-0.254292,1.57578
1149.28,-148.646,773.758,-2.97688,-0.254409,1.57576
1149.31,-148.618,773.747,-2.97698,-0.254303,1.5757
1149.17,-148.405,773.753,-2.97697,-0.254295,1.57574
1149.18,-148.364,773.756,-2.97686,-0.25426,1.57574
1149.21,-148.333,773.748,-2.97686,-0.254254,1.57585
1149.21,-148.29,773.741,-2.97694,-0.254158,1.57579
1149.24,-148.259,773.743,-2.97697,-0.254314,1.57579
1149.22,-148.2,773.762,-2.97687,-0.254357,1.57577
1149.26,-148.167,773.755,-2.97683,-0.254239,1.57574
1149.28,-148.13,773.75,-2.97694,-0.254259,1.5758
1149.28,-148.088,773.751,-2.97693,-0.254257,1.57578
1149.29,-148.058,773.754,-2.97694,-0.254229,1.57575
1149.3,-148.004,773.753,-2.97688,-0.254272,1.57575
1149.33,-147.971,773.746,-2.97695,-0.254238,1.57579
1149.34,-147.932,773.735,-2.97704,-0.254178,1.57572
1149.06,-148.247,773.701,-2.97703,-0.254191,1.57561
1149.07,-148.221,773.687,-2.97707,-0.25411,1.5755
1149.07,-148.186,773.69,-2.97709,-0.254177,1.57551
1149.07,-148.154,773.682,-2.97696,-0.254263,1.57562
1149.04,-148.104,773.677,-2.97701,-0.25423,1.57554
1149.03,-148.07,773.665,-2.97704,-0.254237,1.57556
1149.05,-148.045,773.652,-2.97707,-0.254218,1.57562
1149.14,-148.195,773.671,-2.97697,-0.254294,1.57552
1149.17,-148.177,773.666,-2.97695,-0.254267,1.57554
1149.23,-148.184,773.635,-2.97697,-0.254319,1.57547
1149.27,-148.179,773.62,-2.977,-0.254356,1.57546
1149.06,-148.734,773.814,-2.97689,-0.254423,1.57539
1149.08,-148.724,773.796,-2.97694,-0.25427,1.57536
1149.12,-148.733,773.781,-2.97697,-0.254311,1.57533
1148.97,-149.046,773.83,-2.97694,-0.254313,1.57522
1149,-149.044,773.827,-2.97703,-0.254349,1.57521
1149.01,-149.045,773.81,-2.977,-0.254358,1.57516
1149.03,-149.046,773.794,-2.97695,-0.254333,1.57515
1149.03,-149.035,773.797,-2.97691,-0.254315,1.57528
1149.03,-149.043,773.779,-2.9769,-0.254344,1.57533
1149.07,-149.053,773.766,-2.97689,-0.25434,1.57526
1149.08,-149.061,773.739,-2.97692,-0.254307,1.57529
1149.1,-149.062,773.731,-2.97691,-0.254332,1.57519
1149.1,-149.055,773.721,-2.97688,-0.254397,1.57524
1149.12,-149.062,773.697,-2.9769,-0.254291,1.57537
1149.15,-149.064,773.689,-2.97694,-0.254315,1.57525
1149.16,-149.074,773.671,-2.97689,-0.254298,1.57532
1148.9,-149.002,773.877,-2.97686,-0.254269,1.57531
1148.91,-149.005,773.873,-2.9769,-0.254288,1.57537
1148.89,-148.997,773.872,-2.97688,-0.254174,1.57544
1148.92,-149.005,773.876,-2.97688,-0.254182,1.57536
1148.93,-149.004,773.875,-2.9768,-0.2542,1.5753
1148.97,-149.002,773.872,-2.97687,-0.254307,1.57538
1148.95,-148.999,773.879,-2.9768,-0.254364,1.57545
1148.99,-149.011,773.885,-2.97687,-0.254342,1.57536
1148.99,-148.927,773.887,-2.97681,-0.254139,1.57523
1148.99,-148.921,773.89,-2.97684,-0.254176,1.57529
1149.01,-148.924,773.891,-2.9768,-0.25418,1.57524
1149.01,-148.911,773.912,-2.97673,-0.25427,1.57524
1149.03,-148.925,773.904,-2.97678,-0.254163,1.57531
1149.03,-148.916,773.913,-2.97679,-0.254221,1.57534
1149.05,-148.925,773.909,-2.9768,-0.25423,1.57535
1149.07,-148.932,773.912,-2.97685,-0.254176,1.57534
1149.08,-148.924,773.914,-2.97679,-0.254165,1.5753
1148.94,-148.978,773.866,-2.97681,-0.254047,1.5753
1148.94,-148.979,773.844,-2.97682,-0.254064,1.57531
1148.96,-148.984,773.837,-2.97682,-0.254047,1.57538
1148.97,-148.979,773.838,-2.97683,-0.254052,1.57533
1148.98,-149.008,773.836,-2.97679,-0.254043,1.57537
1149,-149.004,773.834,-2.97685,-0.254019,1.57542
1149.01,-148.99,773.83,-2.97676,-0.254119,1.57536
1149.03,-149,773.842,-2.97676,-0.254042,1.57533
1149.05,-148.995,773.837,-2.97678,-0.254116,1.57538
1149.06,-148.989,773.838,-2.9768,-0.254062,1.57535
1149.07,-148.976,773.834,-2.97683,-0.254034,1.5754
1149.08,-148.967,773.821,-2.97677,-0.254124,1.57546
1149.11,-148.971,773.817,-2.97678,-0.254079,1.57533
1149.12,-148.969,773.809,-2.97672,-0.254132,1.57534
1149.14,-148.963,773.794,-2.97677,-0.254153,1.57537
1148.98,-148.883,773.841,-2.97681,-0.253884,1.57544
1148.99,-148.881,773.836,-2.97676,-0.253852,1.57546
1149.02,-148.886,773.821,-2.97676,-0.253826,1.57551
1149.02,-148.878,773.824,-2.97676,-0.253825,1.57544
1149.02,-148.726,773.825,-2.97678,-0.253842,1.57542
1149.03,-148.709,773.814,-2.97678,-0.25389,1.57551
1149.02,-148.69,773.812,-2.97676,-0.253825,1.57544
1149.04,-148.67,773.804,-2.97682,-0.253788,1.57551
1149.05,-148.653,773.796,-2.97684,-0.253862,1.57544
1149.07,-148.643,773.79,-2.97679,-0.253805,1.57554
1149.07,-148.616,773.787,-2.97677,-0.253847,1.57552
1149.1,-148.608,773.771,-2.97679,-0.253846,1.57548
1149.12,-148.568,773.764,-2.9767,-0.253973,1.57552
1149.14,-148.564,773.763,-2.97674,-0.25381,1.57545
1149.13,-148.553,773.761,-2.97677,-0.253669,1.57549
1149.12,-148.528,773.761,-2.97679,-0.253828,1.57545
1149.14,-148.51,773.741,-2.97679,-0.253792,1.57545
1149.11,-148.498,773.673,-2.97687,-0.253607,1.5754
1148.96,-148.38,773.509,-2.97669,-0.253788,1.57558
1148.92,-148.363,773.409,-2.97679,-0.254145,1.57551
1148.79,-149.039,773.419,-2.97676,-0.254217,1.57546
1148.79,-149.073,773.257,-2.97672,-0.254081,1.5755
1148.88,-149.036,773.08,-2.9766,-0.254552,1.57541
1148.93,-149.074,772.987,-2.97682,-0.25364,1.57538
1148.95,-149.036,772.889,-2.97652,-0.253342,1.5754
1148.94,-149.313,772.511,-2.97678,-0.25356,1.57536
1149.01,-149.317,772.1,-2.97647,-0.254377,1.57562
1148.86,-149.648,771.977,-2.97671,-0.254026,1.57538
1148.89,-149.639,771.655,-2.97677,-0.253798,1.57539
1148.87,-149.437,771.398,-2.97658,-0.254038,1.57562
1148.89,-149.464,771.036,-2.97644,-0.254169,1.57562
1148.81,-149.308,770.692,-2.97662,-0.253699,1.57567
1148.81,-149.313,770.293,-2.97647,-0.254039,1.57574
1148.8,-149.316,769.927,-2.97648,-0.254125,1.57569
1148.77,-149.323,769.525,-2.97654,-0.253619,1.57571
1148.77,-149.215,769.176,-2.9766,-0.253585,1.57574
1148.76,-149.217,768.615,-2.97642,-0.25403,1.57579
1148.77,-149.254,768.049,-2.97646,-0.254168,1.57575
1148.8,-149.241,767.498,-2.97638,-0.254,1.57582
1148.82,-149.271,766.888,-2.97632,-0.253922,1.57579
1148.87,-149.297,766.262,-2.97652,-0.253894,1.57578
1148.72,-149.391,766.004,-2.97658,-0.254151,1.57567
1148.72,-149.384,765.423,-2.97667,-0.253988,1.57571
1148.72,-149.399,764.847,-2.97637,-0.253816,1.57577
1148.63,-149.653,764.229,-2.97678,-0.253729,1.57554
1148.73,-149.723,763.583,-2.97634,-0.254039,1.57558
1148.58,-149.919,763.059,-2.97692,-0.254055,1.57544
1148.6,-149.958,762.383,-2.97639,-0.253771,1.57557
1148.73,-149.714,761.636,-2.97698,-0.253894,1.57553
1148.75,-149.757,760.884,-2.97614,-0.254323,1.57581
1148.78,-149.767,760.217,-2.9769,-0.254186,1.57562
1148.36,-149.614,757.793,-2.97576,-0.254705,1.57627
1148.34,-149.607,757.592,-2.97657,-0.254652,1.57568
1148.46,-149.862,757.126,-2.97601,-0.25379,1.57622
1148.48,-149.891,756.392,-2.97645,-0.254438,1.5759
1148.45,-149.886,755.733,-2.97657,-0.254301,1.57593
1148.5,-149.816,755.172,-2.97623,-0.253395,1.57613
1148.55,-149.877,754.44,-2.97651,-0.253852,1.57608
1148.56,-149.695,753.836,-2.976,-0.254221,1.57615
1148.55,-149.686,753.265,-2.97659,-0.25428,1.57601
1148.53,-149.594,752.748,-2.97636,-0.253313,1.57569
1148.64,-149.722,751.908,-2.97655,-0.25392,1.57597
1148.62,-149.891,748.093,-2.97647,-0.25382,1.57596
1148.8,-149.964,746.955,-2.97624,-0.254044,1.57584
1148.86,-149.957,746.714,-2.97623,-0.253754,1.57598
1148.84,-150.023,746.267,-2.97645,-0.253797,1.57596
1148.74,-150.044,745.541,-2.97648,-0.253493,1.5758
1148.72,-150.07,744.931,-2.97637,-0.254034,1.57583
1148.74,-150.031,744.377,-2.97663,-0.25335,1.5758
1148.79,-149.704,743.468,-2.97645,-0.252954,1.57598
1148.77,-149.727,742.754,-2.97674,-0.252853,1.57581
1148.6,-149.734,742.007,-2.97648,-0.25378,1.57599
1148.58,-149.744,741.234,-2.97645,-0.25436,1.57593
1148.35,-149.969,740.63,-2.97659,-0.254225,1.57577
1148.3,-149.982,740.011,-2.9765,-0.25385,1.57599
1148.25,-150.001,739.324,-2.97637,-0.254034,1.57598
1148.09,-150.052,738.742,-2.97634,-0.253941,1.57593
1148.07,-150.039,735.711,-2.97671,-0.253972,1.5756
1148.14,-150.03,735.474,-2.97634,-0.254117,1.57603
1148.02,-149.995,734.914,-2.97643,-0.253986,1.57602
1148.35,-149.983,734.066,-2.97657,-0.253745,1.57599
1148.2,-149.992,733.351,-2.97669,-0.254275,1.57577
1148.17,-150.314,732.673,-2.97656,-0.254338,1.57572
1148.08,-150.342,731.977,-2.97662,-0.25473,1.57568
1148.03,-150.382,731.273,-2.97654,-0.254376,1.57587
1148.06,-150.534,730.544,-2.97663,-0.254332,1.5759
1147.99,-150.535,729.923,-2.97621,-0.255004,1.57611
1148.02,-150.593,729.396,-2.97624,-0.255147,1.57624
1148,-150.607,728.75,-2.97604,-0.254294,1.57635
1148,-151.006,727.887,-2.97664,-0.254892,1.57577
1148,-151.018,727.295,-2.97655,-0.25525,1.57593
1148.37,-150.987,726.68,-2.97632,-0.25448,1.57611
1148.5,-151.061,725.993,-2.97649,-0.253792,1.57608
1148.47,-151.136,725.207,-2.97635,-0.253831,1.57617
1148.46,-151.166,724.506,-2.97677,-0.254329,1.5756
1148.25,-151.049,723.958,-2.9762,-0.254824,1.57619
1148.35,-151.054,723.311,-2.97631,-0.254459,1.57593
1148.48,-150.678,722.47,-2.97678,-0.254024,1.57581
1148.5,-150.671,721.746,-2.97663,-0.253839,1.57577
1148.44,-150.777,721.129,-2.97679,-0.25415,1.57585
1148.47,-150.828,720.348,-2.97637,-0.254913,1.57626
1148.37,-150.485,719.749,-2.97634,-0.254562,1.57624
1148.4,-150.516,719.085,-2.9766,-0.254156,1.57616
1148.35,-150.792,718.459,-2.97664,-0.254144,1.57596
1148.38,-150.848,717.741,-2.97656,-0.254246,1.57586
1148.42,-150.871,717.074,-2.97704,-0.253834,1.57566
1148.45,-150.978,716.345,-2.97645,-0.253791,1.57633
1148.55,-150.719,715.568,-2.97704,-0.254623,1.57578
1148.55,-150.216,714.746,-2.97649,-0.253776,1.57601
1148.57,-150.225,714.013,-2.977,-0.253679,1.57609
1148.55,-150.267,713.279,-2.97654,-0.254047,1.57624
1148.46,-150.305,712.55,-2.97662,-0.254656,1.57637
1148.37,-150.272,711.969,-2.97674,-0.254719,1.57597
1148.48,-150.364,711.25,-2.9764,-0.254577,1.57652
1148.39,-150.395,709.78,-2.97653,-0.254878,1.57641
1148.36,-150.539,708.837,-2.97649,-0.255124,1.57597
1148.46,-150.54,707.865,-2.97676,-0.254397,1.57589
1148.36,-150.571,706.632,-2.97604,-0.254853,1.57643
1148.51,-150.558,705.285,-2.97693,-0.254533,1.57598
1148.33,-150.521,703.311,-2.97661,-0.254157,1.57614
1148.14,-150.548,701.245,-2.97631,-0.254767,1.57649
1148.12,-150.564,700.404,-2.97681,-0.255295,1.57581
1148.05,-150.591,699.692,-2.97654,-0.255588,1.57625
1148.65,-150.502,695.659,-2.97632,-0.254256,1.576
1148.68,-150.668,692.27,-2.97645,-0.254882,1.57599
1148.47,-150.492,689.857,-2.97689,-0.254956,1.57572
1148.54,-150.244,688.99,-2.9764,-0.255638,1.57582
1148.61,-150.291,688.829,-2.97663,-0.254106,1.57591
1148.64,-150.294,687.8,-2.97661,-0.253787,1.57591
1148.5,-150.311,686.953,-2.97636,-0.254102,1.57575
1148.66,-150.32,686.514,-2.97652,-0.254227,1.57591
1148.61,-149.971,685.353,-2.97651,-0.254579,1.57585
1148.57,-149.92,681.047,-2.97652,-0.255554,1.576
1149.15,-149.786,678.104,-2.97638,-0.255349,1.57606
1148.6,-149.75,677.676,-2.97627,-0.254723,1.57584
1148.61,-149.827,677.247,-2.977,-0.254719,1.57573
1148.66,-149.871,676.688,-2.97638,-0.254816,1.57615
1148.88,-150.241,676.045,-2.97699,-0.254468,1.57575
1148.95,-150.171,675.363,-2.97626,-0.254008,1.57571
1148.71,-149.975,674.659,-2.97683,-0.254322,1.5757
1148.74,-149.905,673.979,-2.97668,-0.254802,1.57595
1148.91,-150.102,673.252,-2.97686,-0.25493,1.57564
1148.99,-150.007,672.496,-2.97622,-0.254586,1.57599
1148.94,-150.096,671.708,-2.97706,-0.254786,1.57574
1148.67,-149.992,671.095,-2.97647,-0.255572,1.57602
1148.55,-150.034,670.517,-2.97683,-0.255746,1.57581
1148.77,-149.902,669.804,-2.97672,-0.254351,1.57603
1148.71,-149.977,669.143,-2.97614,-0.25507,1.5761
1148.73,-149.767,668.368,-2.97651,-0.255382,1.57599
1148.74,-149.816,667.777,-2.97628,-0.254739,1.57608
1148.94,-149.765,667.084,-2.97659,-0.254735,1.57599
1149.13,-149.77,666.25,-2.97625,-0.254684,1.57611
1149.26,-149.685,665.523,-2.97651,-0.254375,1.57593
1149.02,-149.805,664.91,-2.97656,-0.253887,1.57602
1149.1,-149.76,664.108,-2.97665,-0.253821,1.57602
1149.09,-149.832,663.333,-2.97623,-0.254791,1.57617
1148.98,-150.037,662.745,-2.97652,-0.254996,1.57598
1148.96,-150,662.22,-2.97617,-0.253958,1.576
1148.68,-149.636,661.381,-2.97683,-0.253946,1.57572
1148.7,-149.562,660.549,-2.97568,-0.255257,1.57616
1149.05,-149.7,659.957,-2.97674,-0.255351,1.57595
1149.2,-149.615,659.275,-2.97585,-0.254384,1.57632
1149.16,-149.619,658.652,-2.97687,-0.25417,1.5759
1148.75,-149.474,657.94,-2.97576,-0.254578,1.57633
1148.8,-149.532,657.351,-2.97675,-0.254708,1.57594
1148.82,-149.401,656.692,-2.97576,-0.254316,1.57619
1148.89,-149.476,655.076,-2.97685,-0.253637,1.57598
1148.89,-149.298,654.629,-2.9767,-0.255195,1.57597
1148.86,-149.309,653.895,-2.97613,-0.253887,1.5763
1149.19,-149.453,652.942,-2.97671,-0.254749,1.57598
1149.29,-149.368,652.151,-2.9759,-0.255396,1.57618
1149.45,-149.068,650.154,-2.97612,-0.253731,1.57624
1149.16,-149.209,649.928,-2.97637,-0.255303,1.57621
1149.31,-149.06,648.61,-2.97626,-0.254306,1.5762
1149.27,-149.035,647.567,-2.97669,-0.253842,1.57614
1149.21,-148.914,646.806,-2.97602,-0.254818,1.5763
1148.91,-148.872,646.252,-2.97661,-0.254597,1.57611
1148.99,-148.775,645.548,-2.97656,-0.25373,1.5761
1149.2,-149.065,644.637,-2.97661,-0.25398,1.57608
1149.17,-149.086,644.028,-2.97631,-0.254746,1.57613
1149.2,-149.031,643.277,-2.97664,-0.254301,1.57616
1149.14,-149.026,642.567,-2.97604,-0.254894,1.57627
1149.12,-148.99,641.75,-2.97662,-0.254821,1.57623
1149.19,-148.984,641.073,-2.9761,-0.255075,1.57628
1149.21,-148.961,640.397,-2.97661,-0.255723,1.57613
1149.3,-148.789,639.603,-2.97587,-0.254666,1.57629
1149.39,-148.853,638.913,-2.97642,-0.254318,1.57623
1149.52,-148.787,637.996,-2.97594,-0.254791,1.5763
1149.47,-148.564,637.563,-2.97641,-0.255482,1.57614
1149.54,-148.442,636.835,-2.97634,-0.254316,1.57612
